"Estimator" "Values" "Distribution" "Details"
"221" "True" 0.0909684081537892 "Beta(2,7)" "K=3, N=50"
"222" "True" 0.0272064794749747 "Beta(2,7)" "K=3, N=50"
"223" "True" 0.0134221459062492 "Beta(2,7)" "K=3, N=50"
"224" "True" 0.057025639124568 "Beta(2,7)" "K=3, N=50"
"225" "True" 0.0698715120354269 "Beta(2,7)" "K=3, N=50"
"226" "True" 0.0326092387043593 "Beta(2,7)" "K=3, N=50"
"227" "True" 0.0303413648753029 "Beta(2,7)" "K=3, N=50"
"228" "True" 0.0466398952061522 "Beta(2,7)" "K=3, N=50"
"229" "True" 0.0369916730473442 "Beta(2,7)" "K=3, N=50"
"230" "True" 0.112315770181281 "Beta(2,7)" "K=3, N=50"
"231" "True" 0.0484272805274562 "Beta(2,7)" "K=3, N=50"
"232" "True" 0.0778175494924052 "Beta(2,7)" "K=3, N=50"
"233" "True" 0.0461500596220691 "Beta(2,7)" "K=3, N=50"
"234" "True" 0.034690446917685 "Beta(2,7)" "K=3, N=50"
"235" "True" 0.0141863019361443 "Beta(2,7)" "K=3, N=50"
"236" "True" 0.030831024439501 "Beta(2,7)" "K=3, N=50"
"237" "True" 0.0748181174498803 "Beta(2,7)" "K=3, N=50"
"238" "True" 0.0855925983849408 "Beta(2,7)" "K=3, N=50"
"239" "True" 0.120441091815243 "Beta(2,7)" "K=3, N=50"
"240" "True" 0.012099053496322 "Beta(2,7)" "K=3, N=50"
"241" "True" 0.0415200741647031 "Beta(2,7)" "K=3, N=50"
"242" "True" 0.0443070435277391 "Beta(2,7)" "K=3, N=50"
"243" "True" 0.0848825200480629 "Beta(2,7)" "K=3, N=50"
"244" "True" 0.00793192769956461 "Beta(2,7)" "K=3, N=50"
"245" "True" 0.0123218047916314 "Beta(2,7)" "K=3, N=50"
"246" "True" 0.0231842139159608 "Beta(2,7)" "K=3, N=50"
"247" "True" 0.0695917865581577 "Beta(2,7)" "K=3, N=50"
"248" "True" 0.0425557698551834 "Beta(2,7)" "K=3, N=50"
"249" "True" 0.0453096392240105 "Beta(2,7)" "K=3, N=50"
"250" "True" 0.0337831685494774 "Beta(2,7)" "K=3, N=50"
"251" "True" 0.0686166479344465 "Beta(2,7)" "K=3, N=50"
"252" "True" 0.037952072127385 "Beta(2,7)" "K=3, N=50"
"253" "True" 0.0322791290519064 "Beta(2,7)" "K=3, N=50"
"254" "True" 0.0719893581862238 "Beta(2,7)" "K=3, N=50"
"255" "True" 0.0496691927813823 "Beta(2,7)" "K=3, N=50"
"256" "True" 0.0535441143202402 "Beta(2,7)" "K=3, N=50"
"257" "True" 0.0165978185325971 "Beta(2,7)" "K=3, N=50"
"258" "True" 0.0399559354202097 "Beta(2,7)" "K=3, N=50"
"259" "True" 0.0648421658216816 "Beta(2,7)" "K=3, N=50"
"260" "True" 0.0501193180603795 "Beta(2,7)" "K=3, N=50"
"261" "True" 0.0223273066082312 "Beta(2,7)" "K=3, N=50"
"262" "True" 0.0607415759993626 "Beta(2,7)" "K=3, N=50"
"263" "True" 0.0470501451476 "Beta(2,7)" "K=3, N=50"
"264" "True" 0.0752888306744736 "Beta(2,7)" "K=3, N=50"
"265" "True" 0.0144453602369623 "Beta(2,7)" "K=3, N=50"
"266" "True" 0.0222558101505118 "Beta(2,7)" "K=3, N=50"
"267" "True" 0.0115803055698563 "Beta(2,7)" "K=3, N=50"
"268" "True" 0.0291852422215275 "Beta(2,7)" "K=3, N=50"
"269" "True" 0.0490403027570355 "Beta(2,7)" "K=3, N=50"
"270" "True" 0.0157308649926694 "Beta(2,7)" "K=3, N=50"
"271" "True" 0.0167507251157834 "Beta(2,7)" "K=3, N=50"
"272" "True" 0.0587907310993231 "Beta(2,7)" "K=3, N=50"
"273" "True" 0.0800102703738769 "Beta(2,7)" "K=3, N=50"
"274" "True" 0.0329665933175542 "Beta(2,7)" "K=3, N=50"
"275" "True" 0.0832456013211087 "Beta(2,7)" "K=3, N=50"
"276" "True" 0.0336857836005283 "Beta(2,7)" "K=3, N=50"
"277" "True" 0.0201283014300781 "Beta(2,7)" "K=3, N=50"
"278" "True" 0.0458589584355145 "Beta(2,7)" "K=3, N=50"
"279" "True" 0.0100246929632014 "Beta(2,7)" "K=3, N=50"
"280" "True" 0.0182622038928678 "Beta(2,7)" "K=3, N=50"
"281" "True" 0.0330245336486423 "Beta(2,7)" "K=3, N=50"
"282" "True" 0.0111212353063488 "Beta(2,7)" "K=3, N=50"
"283" "True" 0.0174747847281208 "Beta(2,7)" "K=3, N=50"
"284" "True" 0.0160382770407919 "Beta(2,7)" "K=3, N=50"
"285" "True" 0.0227887987544599 "Beta(2,7)" "K=3, N=50"
"286" "True" 0.0408031768743857 "Beta(2,7)" "K=3, N=50"
"287" "True" 0.0121176313452199 "Beta(2,7)" "K=3, N=50"
"288" "True" 0.0181628655034263 "Beta(2,7)" "K=3, N=50"
"289" "True" 0.0598122678763648 "Beta(2,7)" "K=3, N=50"
"290" "True" 0.00508941024272772 "Beta(2,7)" "K=3, N=50"
"291" "True" 0.0192310607056127 "Beta(2,7)" "K=3, N=50"
"292" "True" 0.0419055002961675 "Beta(2,7)" "K=3, N=50"
"293" "True" 0.0489794579275053 "Beta(2,7)" "K=3, N=50"
"294" "True" 0.0622563235436999 "Beta(2,7)" "K=3, N=50"
"295" "True" 0.0373268574351488 "Beta(2,7)" "K=3, N=50"
"296" "True" 0.0309434787572001 "Beta(2,7)" "K=3, N=50"
